Arthrocnodax fraxinellus
Arthroleptis stenodactylus
Arthroleptis variabilis
Arthroleptis xenodactyloides
Arthroleptis xenodactylus
Arthrosaura reticulata
Artibeus fimbriatus
Artibeus jamaicensis
Artibeus lituratus
Artibeus obscurus
Arunta interclusa
Arvicanthis neumanni
Arvicola amphibius
Arvicola sapidus
Arytaina genistae
Arytainilla spartiophila
Asabellides oculata
Asaphidion flavipes
Asaphidion pallipes
Asca bicornis
Ascaphus truei
Ascia monuste
Ascidia challengeri
Ascidia interrupta
Asclepias curassavica
Asclepias linaria
Asclepias viridis
Ascomorpha ecaudis
Asellus aquaticus
Asio otus
Aslia lefevrei
Asperoteuthis lui
Aspidelaps lubricus
Aspidelaps scutatus
Aspidites melanocephalus
Aspidites ramsayi
Aspidomorphus muelleri
Aspidophoroides monopterygius
Aspidophoroides olrikii
Aspidoptera falcata
Aspidoptera phyllostomatus
Aspidoscelis angusticeps
Aspidoscelis ceralbensis
Aspidoscelis costata
Aspidoscelis exsanguis
Aspidoscelis gularis
Aspidoscelis guttata
Aspidoscelis hyperythra
Aspidoscelis inornata
Aspidoscelis lineattissima
Aspidoscelis sackii
Aspidoscelis sexlineata
Aspidoscelis tesselata
Aspidoscelis tigris
Aspidoscelis uniparens
Aspidosiphon muelleri
Aspidura guentheri
Aspidura trachyprocta
Aspistor quadriscutis
Aspius aspius
Aspronema dorsivittata
Assiminea californica
Astacilla dilatata
Astacilla longicornis
Astacus astacus
Astacus leptodactylus
Astarte montagui
Astarte polaris
Astatotilapia flaviijosephi
Asterias amurensis
Asterias forbesi
Asterias rubens
Asterina gibbosa
Asterina phylactica
Asterionella japonica
Asterocaelum algiphilum
Asterropteryx semipunctata
Asthenargus paganus
Astrangia lajollaensis
Astrocaryum standleyanum
Astrochlamys bruneus
Astrometis sertulifera
Astronesthes lucifer
Astronesthes similus
Astronotus ocellatus
Astropecten armatus
Astropecten aurantciacus
Astropecten irregularis
Astropecten polyacanthus
Astroscopus guttatus
Astrostole scabra
Astrotoma agassizii
Astyanax altiparanae
Astyanax bimaculatus
Astyanax bockmanni
Astyanax fasciatus
Astylosternus diadematus
Asymbolus vincenti
Atalacmea fragilis
Atalopedes campestris
Atalophlebioides cromwelli
Atelecyclus rotundatus
Atergatis roseus
Athanas nitescens
Athene cunicularia
Athene noctua
Atheresthes evermanni
Atheresthes stomias
Atherina boyeri
Atherina breviceps
Atherina presbyter
Atherinomorus lacunosus
Atherinomorus stipes
Atherinomorus vaigiensis
Atherinops affinis
Atherinopsis californiensis
Atheris nitschei
Atheris rungweensis
Atheris squamigera
Atherurus africanus
Atheta crassicornis
Atheta elongatula
Atheta fungicola
Atheta oblita
Atheta palustris
Atheta triangulum
Athoracophorus bitentaculatus
Athous bicolor
Athous haemorrhoidalis
Athous subfuscus
Athous vittatus
Athous zebei
Athysanus argentarius
Atilax paludinosus
Atolla wyvillei
Atomaria atricapilla
Atomaria basalis
Atomaria fuscata
Atomaria linearis
Atomaria nigriventris
Atomaria punctithorax
Atractaspis aterrima
Atractaspis bibronii
Atractaspis duerdeni
Atractaspis engaddensis
Atractaspis irregularis
Atractomerus caligatus
Atractoscion aequidens
Atractoscion nobilis
Atractus albuquerquei
Atractus collaris
Atractus insipidus
Atractus latifrons
Atractus major
Atractus manizalesensis
Atractus occipitoalbus
Atractus pantostictus
Atractus paraguayensis
Atractus sanctaemartae
Atractus torquatus
Atractus trilineatus
Atractus zebrinus
Atrecus affinis
Atropacarus striculus
Atrophacanthus japonicus
Atropoides nummifer
Atropoides occiduus
Attagenus unicolor
Attalea rostrata
Attelabus pisi
Atule mate
Atylus swammerdami
Atyoida bisulcata
Atypus affinis
Atys cylindricus
Aubria subsigillata
Auchenoceros punctatus
Auchenoglanis biscutatus
Augochlora pura
Augosoma centaurus
Aulacobaris lepidii
Aulacomya ater
Aulactinia stella
Aulactinia verrucosa
Aulonia albimana
Aulopus filamentosus
Aulorhynchus flavidus
Aulostomus chinensis
Aulostomus maculatus
Auplopus carbonarius
Aurantilaria aurantiaca
Aurelia aurita
Aurelia labiata
Aurigamonas solis
Auriparus flaviceps
Austracris guttulosa
Australoheros facetus
Australomimetus hartleyensis
Australostichopus mollis
Austramathes purpurea
Austrelaps labialis
Austrelaps ramsayi
Austrelaps superbus
Austridotea annectens
Austrochaperina robusta
Austrocidaris canaliculata
Austroclima jollyae
Austroflustra vulgaris
Austroglossus microlepis
