Augosoma centaurus
Aulacobaris lepidii
Aulacomya ater
Aulactinia verrucosa
Aulonia albimana
Aulopus filamentosus
Aulorhynchus flavidus
Aulostomus chinensis
Aulostomus maculatus
Aurantilaria aurantiaca
Aurelia aurita
Auriparus flaviceps
Austracris guttulosa
Australoheros facetus
Australostichopus mollis
Austramathes purpurea
Austridotea annectens
Austrochaperina robusta
Austroclima jollyae
Austroflustra vulgaris
Austroglossus microlepis
Austroglossus pectoralis
Austrolittorina araucana
Austromegabalanus cylindricus
Austromegabalanus psittacus
Austrominius modestus
Austroperla cyrene
Austrosignum grande
Austrosimulium australense
Austrovenus stutchburyi
Autographa gamma
Automate isabelae
Automeris io
Auxis rochei
Auxis thazard
Avenula pubescens
Aviceda subcristata
Avocettina infans
Avrainvillea longicaulis
Axelosonia littoralis
Axinopsida orbiculata
Axinopsida serricata
Axiothella catenata
Axis axis
Axis porcinus
Aythya americana
Azeca goodalli
Azygopus pinnifasciatus
Babina holsti
Babina okinavana
Bachia trisanale
Bacillus megaterium
Bacillus subtilis
Bacteriastrum hyalinum
Bactris major
Badister bullatus
Baeolophus bicolor
Baetis bicaudatus
Baetis buceratus
Baetis muticus
Baetis phoebus
Baetis rhodani
Baetis scambus
Baetis tricaudatus
Baetis vernus
Bagre bagre
Bagre marinus
Bagrus bajad
Bagrus docmak
Bagrus meridionalis
Baileya australis
Baiomys taylori
Bairdiella chrysoura
Balaena mysticetus
Balaenoptera acutorostrata
Balaenoptera physalus
Balanites aegyptiacus
Balanophyllia elegans
Balantiopteryx plicata
Balanus amphitrite
Balanus balanus
Balanus crenatus
Balanus eburneus
Balanus glandula
Balanus improvisus
Balanus laevis
Balanus nubilus
Balistapus undulatus
Balistes capriscus
Balistes polylepis
Ballus chalybeius
Bankia gouldi
Barbatia candida
Barbatia obliquata
Barbatia virescens
Barbatula barbatula
Barbus barbus
Barbus callipterus
Barbus chlorotaenia
Barbus longiceps
Barbus paludinosus
Barbus sacratus
Barisia imbricata
Barisia levicollis
Barnea candida
Barrukia cristata
Bartramia longicauda
Barypeithes pellucidus
Bascanichthys bascanium
Basilia bequaerti
Basilia blainvillii
Basiliscus basiliscus
Basiliscus vittatus
Bassanago albescens
Bassanago bulbiceps
Bassaris itea
Bassiana platynota
Bassiana trilineata
Bat paramyxovirus
Batea catharinensis
Bathophilus flemingi
Bathyagonus alascanus
Bathyagonus nigripinnis
Bathyagonus pentacanthus
Bathyarca glacialis
Bathybiaster loripes
Bathydorus spinosus
Bathygobius fuscus
Bathygobius soporator
Bathylagus antarcticus
Bathylagus euryops
Bathymaster signatus
Bathynectes longispina
Bathynectes maravigna
Bathynomus doederleini
Bathynomus giganteus
Bathypanoploea schellenbergi
Bathyphantes gracilis
Bathyphantes parvulus
Bathyphantes setiger
Bathyplotes bongraini
Bathyplotes gourdoni
Bathypolypus arcticus
Bathypolypus bairdii
Bathypolypus sponsalis
Bathyporeia elegans
Bathyporeia guilliamsoniana
Bathyporeia pilosa
Bathypterois dubius
Bathyraja interrupta
Bathyraja irrasa
Bathyteuthis abyssicola
Batillaria minima
Batoteuthis skolops
Batrachedra praeangusta
Batrachochytrium dendrobatidis
Batrachoseps major
Batrachoseps stebbinsi
Batrachyla taeniata
Beauchampiella eudactylota
Beilschmiedia tovarensis
Belaphotroctes ghesquierei
Belaturricula ergata
Belba corynopus
Bellator xenisma
Bellatorias major
Bellis perennis
Belone belone
Bema ydda
Bembidion assimile
Bembidion contractum
Bembidion lampros
Bembidion obtusum
Bembidion properans
Bembidion quadrimaculatum
Bembrops heterurus
Bemisia tabaci
Bentheogennema pasithea
Benthochromis tricoti
Benthoctopus thielei
Benthodesmus simonyi
Benthodesmus tenuis
Benthonella tenella
Benthosema fibulatum
Benthosema glaciale
Benthosema panamense
Benthosema pterotum
Benthosema suborbitale
Beraeoptera roria
Berniniella bicarinata
Berniniella conjuncta
Berniniella dungeri
Beroe cucumis
Beroe ovata
Berryteuthis anonychus
Berryteuthis magister
Beryx decadactylus
Beryx splendens
Bibio johannis
Bidessus unistriatus
Bignonia aequinoctialis
Bimastos rubidus
Bithynia leachii
Bithynia tentaculata
Bitis arietans
Bitis caudalis
Bitis gabonica
Bitis schneideri
Bitoma crenata
Bittacomorpha clavipes
Bittiolum varium
Bittium impendens
Bittium quadrifilatum
Bittium reticulatum
Blaberus craniifer
Blaesoxipha plinthopyga
Blaniulus guttulatus
Blanus cinereus
Blanus tingitanus
Blarina brevicauda
Blarina carolinensis
Blarina hylophaga
Blarinomys breviceps
Blastobasis floridella
Blastobasis glandulella
Bledius erraticus
Bledius gallicus
Blenniella gibbifrons
Blenniella periophthalmus
Blepharisma japonicum
Blepharisma seshachari
Blicca bjoerkna
Blissus insularis
Blommersia blommersae
Boa constrictor
Boaedon capensis
Boaedon fuliginosus
Boccardia acus
Boccardia proboscidea
Boccardia syrtis
Bodianus bilunulatus
Bodianus rufus
Bodo caudatus
Bodo saltans
Bodotria scorpioides
Boeckosimus edwardsi
Bogertophis subocularis
Boiga ceylonensis
Boiga cyanea
Boiga cynodon
Boiga gokool
Boiga irregularis
Boiga kraepelini
Boiga ochracea
Boiga trigonata
Bokermannohyla alvarengai
Bokermannohyla circumdata
Bokermannohyla hylax
Bokermannohyla saxicola
Boleophthalmus boddarti
Boleophthalmus pectinirostris
